"Customer is allowed to change his billing address","Kunden dürfen ihre Rechnungsanschrift ändern"
"Customer is allowed to change his shipping address","Kunden dürfen ihre Versandanschrift ändern"
"Customer is allowed to choose a billing address","Kunden dürfen aus ihren Rechnungsanschriften wählen"
"Customer is allowed to choose a shipping address","Kunden dürfen aus ihren Versandanschriften wählen"
"Customer is allowed to use billing address for shipping","Kunden dürfen Rechnungsanschrift für Versand verwenden"
